
Rank	Name	Title	Country	Rating	Games	B-Year
 1	 Kasparov, Garry	 g	 RUS	 2830	 12	 1963
 2	 Kramnik, Vladimir	 g	 RUS	 2789	 25	 1975
 3	 Anand, Viswanathan	 g	 IND	 2764	 25	 1969
 4	 Leko, Peter	 g	 HUN	 2746	 12	 1979
 5	 Shirov, Alexei	 g	 ESP	 2735	 22	 1972
 6	 Topalov, Veselin	 g	 BUL	 2735	 13	 1975
 7	 Bareev, Evgeny	 g	 RUS	 2734	 13	 1966
 8	 Adams, Michael	 g	 ENG	 2723	 9	 1971
 9	 Ponomariov, Ruslan	 g	 UKR	 2718	 25	 1983
 10	 Polgar, Judit (GM)	 wg	 HUN	 2715	 13	 1976
 11	 Svidler, Peter	 g	 RUS	 2713	 29	 1976
 12	 Ivanchuk, Vassily	 g	 UKR	 2704	 13	 1969
 13	 Akopian, Vladimir	 g	 ARM	 2703	 0	 1971
 14	 Khalifman, Alexander	 g	 RUS	 2702	 0	 1966
 15	 Grischuk, Alexander	 g	 RUS	 2701	 22	 1983
 16	 Gelfand, Boris	 g	 ISR	 2700	 0	 1968
 17	 Dreev, Alexey	 g	 RUS	 2695	 9	 1969
 18	 Short, Nigel D.	 g	 ENG	 2686	 24	 1965
 19	 Karpov, Anatoly	 g	 RUS	 2686	 13	 1951
 20	 Ye, Jiangchuan	 g	 CHN	 2684	 11	 1960
 21	 Kasimdzhanov, Rustam	 g	 UZB	 2680	 6	 1979
 22	 Morozevich, Alexander	 g	 RUS	 2678	 9	 1977
 23	 Azmaiparashvili, Zurab	 g	 GEO	 2678	 0	 1960
 24	 Sokolov, Ivan	 g	 NED	 2677	 24	 1968
 25	 Almasi, Zoltan	 g	 HUN	 2676	 0	 1976
 26	 Van Wely, Loek	 g	 NED	 2675	 22	 1972
 27	 Malakhov, Vladimir	 g	 RUS	 2672	 9	 1980
 28	 Rublevsky, Sergei	 g	 RUS	 2670	 19	 1974
 29	 Zhang, Zhong	 g	 CHN	 2666	 24	 1978
 30	 Lautier, Joel	 g	 FRA	 2666	 9	 1973
 31	 Sakaev, Konstantin	 g	 RUS	 2664	 18	 1974
 32	 Zvjaginsev, Vadim	 g	 RUS	 2664	 9	 1976
 33	 Bologan, Viktor	 g	 MDA	 2663	 24	 1971
 34	 Smirin, Ilia	 g	 ISR	 2662	 18	 1968
 35	 Movsesian, Sergei	 g	 SVK	 2659	 21	 1978
