
Rank	Name	Title	Country	Rating	Games	B-Year
 1	 Kasparov, Garry	 g	 RUS	 2838	 0	 1963
 2	 Kramnik, Vladimir	 g	 RUS	 2807	 3	 1975
 3	 Anand, Viswanathan	 g	 IND	 2755	 2	 1969
 4	 Adams, Michael	 g	 ENG	 2752	 18	 1971
 5	 Topalov, Veselin	 g	 BUL	 2745	 0	 1975
 6	 Ponomariov, Ruslan	 g	 UKR	 2743	 0	 1983
 7	 Bareev, Evgeny	 g	 RUS	 2726	 12	 1966
 8	 Leko, Peter	 g	 HUN	 2722	 9	 1979
 9	 Morozevich, Alexander	 g	 RUS	 2716	 2	 1977
 10	 Ivanchuk, Vassily	 g	 UKR	 2711	 0	 1969
 11	 Gelfand, Boris	 g	 ISR	 2710	 0	 1968
 12	 Grischuk, Alexander	 g	 RUS	 2702	 2	 1983
 13	 Shirov, Alexei	 g	 ESP	 2697	 18	 1972
 14	 Svidler, Peter	 g	 RUS	 2690	 16	 1976
 15	 Khalifman, Alexander	 g	 RUS	 2690	 8	 1966
 16	 Akopian, Vladimir	 g	 ARM	 2689	 12	 1971
 17	 Karpov, Anatoly	 g	 RUS	 2687	 2	 1951
 18	 Short, Nigel D.	 g	 ENG	 2682	 7	 1965
 19	 Polgar, Judit (GM)	 wg	 HUN	 2681	 1	 1976
 20	 Sokolov, Ivan	 g	 NED	 2677	 28	 1968
 21	 Smirin, Ilia	 g	 ISR	 2676	 23	 1968
 22	 Dreev, Alexey	 g	 RUS	 2676	 11	 1969
 23	 Azmaiparashvili, Zurab	 g	 GEO	 2676	 0	 1960
 24	 Ye, Jiangchuan	 g	 CHN	 2676	 0	 1960
 25	 Zvjaginsev, Vadim	 g	 RUS	 2673	 9	 1976
 26	 Almasi, Zoltan	 g	 HUN	 2672	 8	 1976
 27	 Malakhov, Vladimir	 g	 RUS	 2668	 10	 1980
 28	 Vaganian, Rafael A	 g	 ARM	 2667	 13	 1951
 29	 Lautier, Joel	 g	 FRA	 2663	 12	 1973
 30	 Krasenkow, Michal	 g	 POL	 2662	 26	 1963
 31	 Nikolic, Predrag	 g	 BIH	 2661	 25	 1960
 32	 Georgiev, Kiril	 g	 MKD	 2658	 30	 1965
 33	 Sutovsky, Emil	 g	 ISR	 2658	 11	 1977
 34	 Rublevsky, Sergei	 g	 RUS	 2658	 8	 1974
 35	 Lutz, Christopher	 g	 GER	 2655	 28	 1971
 36	 Movsesian, Sergei	 g	 SVK	 2654	 32	 1978
